id,brand,type_of_product,name,skintype,size,price (bath),ingredients,active ingredients,คุณสมบัติ(จากactive ingredients),combined_features,content_score,cf_score,hybrid_score,recommendation_method
32,BEAUTY OF JOSEON,sunscreen,Beauty Of Joseon Relief Sun Aqua-Fresh Rice+B5 SPF50+ PA++++,"normal, oily",50ml,950.0,"Water, Oryza Sativa (Rice) Seed Water, Dibutyl Adipate, Butyloctyl Salicylate, Ethylhexyl Triazone, Drometrizole Trisiloxane, Polyglyceryl-3 Distearate, Terephthalylidene Dicamphor Sulfonic Acid, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Polymethylsilsesquioxane, Tromethamine, 1,2-Hexanediol, Panthenol, Pentylene Glycol, Glyceryl Stearate, Silica, Caprylyl Methicone, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Propanediol, Potassium Cetyl Phosphate, Poly C10-30 Alkyl Acrylate, Methylpropanediol, Carbomer, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Xanthan Gum, Glycerin, Polyether-1, Avena Sativa (Oat) Kernel Extract, Cynara Scolymus (Artichoke) Leaf Extract, Polyquaternium-51, Camellia Sinensis Leaf Water, Hydrogenated Lecithin, Beta-Glucan, Biosaccharide Gum-1, Inositol, Tocopherol, Ferulic Acid, Oryza Sativa (Rice) Bran Oil, Citric Acid, Ceramide NP, Phytosphingosine, Sodium Hyaluronate, Rice Amino Acids, Rice SH-Oligopeptide-1","Ceramide NP, Panthenol, Tocopherol","ผิวแห้ง, ผิวแพ้ง่าย, After-acids/retinoids, เพิ่มความชุ่มชื้น, ฟื้นฟูผิว, ลดการระคายเคือง, ต้านอนุมูลอิสระ, บำรุงผิว, เพิ่มความชุ่มชื้น","normal, oily sunscreen Water, Oryza Sativa (Rice) Seed Water, Dibutyl Adipate, Butyloctyl Salicylate, Ethylhexyl Triazone, Drometrizole Trisiloxane, Polyglyceryl-3 Distearate, Terephthalylidene Dicamphor Sulfonic Acid, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Polymethylsilsesquioxane, Tromethamine, 1,2-Hexanediol, Panthenol, Pentylene Glycol, Glyceryl Stearate, Silica, Caprylyl Methicone, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Propanediol, Potassium Cetyl Phosphate, Poly C10-30 Alkyl Acrylate, Methylpropanediol, Carbomer, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Xanthan Gum, Glycerin, Polyether-1, Avena Sativa (Oat) Kernel Extract, Cynara Scolymus (Artichoke) Leaf Extract, Polyquaternium-51, Camellia Sinensis Leaf Water, Hydrogenated Lecithin, Beta-Glucan, Biosaccharide Gum-1, Inositol, Tocopherol, Ferulic Acid, Oryza Sativa (Rice) Bran Oil, Citric Acid, Ceramide NP, Phytosphingosine, Sodium Hyaluronate, Rice Amino Acids, Rice SH-Oligopeptide-1 Ceramide NP, Panthenol, Tocopherol ผิวแห้ง, ผิวแพ้ง่าย, After-acids/retinoids, เพิ่มความชุ่มชื้น, ฟื้นฟูผิว, ลดการระคายเคือง, ต้านอนุมูลอิสระ, บำรุงผิว, เพิ่มความชุ่มชื้น BEAUTY OF JOSEON",0.4825187115907866,0.7568809159743642,0.7922635933442177,Hybrid
83,PROVAMED,moisturizer,Provamed Acniclear Bio-Peptide Anti Acne Moisturizer,"dry, oily",40ml,530.0,"Water, Glycerin, Niacinamide, Cetearyl Olivate, Dimethicone, Cetearyl Alcohol, Sorbitan Olivate, Isohexadecane, Phenoxyethanol, Silica, Ceteareth-20, Polymethylsilsesquioxane, Ammonium Acryloyldimethyltaurate/​VP Copolymer, Octyldodecanol, Zinc Pca, Salicylic Acid, Sodium Hyaluronate, Chlorphenesin, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Amylopectin, Simmondsia Chinensis Seed Oil, Disodium EDTA, Tocopheryl Acetate, Dextrin, Sodium Hydroxide, Xanthan Gum, 1,2-Hexanediol, Echium Plantagineum Seed Oil, Avena Sativa Kernel Oil, Bacillus Ferment, Helianthus Annuus Seed Oil Unsaponifiables, Glycine Soja Oil, Salicyloyl Decapeptide-10, Hydrogenated Phosphatidylcholine, Cardiospermum Halicacabum Flower Leaf Vine Extract, Tocopherol, Sodium Oleate","Niacinamide, Salicylic Acid, Tocopherol","ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว, ผลัดเซลล์ผิว, ลดสิวอุดตัน, ลดการอักเสบของสิว, ต้านอนุมูลอิสระ, บำรุงผิว, เพิ่มความชุ่มชื้น","dry, oily moisturizer Water, Glycerin, Niacinamide, Cetearyl Olivate, Dimethicone, Cetearyl Alcohol, Sorbitan Olivate, Isohexadecane, Phenoxyethanol, Silica, Ceteareth-20, Polymethylsilsesquioxane, Ammonium Acryloyldimethyltaurate/​VP Copolymer, Octyldodecanol, Zinc Pca, Salicylic Acid, Sodium Hyaluronate, Chlorphenesin, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Amylopectin, Simmondsia Chinensis Seed Oil, Disodium EDTA, Tocopheryl Acetate, Dextrin, Sodium Hydroxide, Xanthan Gum, 1,2-Hexanediol, Echium Plantagineum Seed Oil, Avena Sativa Kernel Oil, Bacillus Ferment, Helianthus Annuus Seed Oil Unsaponifiables, Glycine Soja Oil, Salicyloyl Decapeptide-10, Hydrogenated Phosphatidylcholine, Cardiospermum Halicacabum Flower Leaf Vine Extract, Tocopherol, Sodium Oleate Niacinamide, Salicylic Acid, Tocopherol ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว, ผลัดเซลล์ผิว, ลดสิวอุดตัน, ลดการอักเสบของสิว, ต้านอนุมูลอิสระ, บำรุงผิว, เพิ่มความชุ่มชื้น PROVAMED",0.22159856351842985,0.9492414052756922,0.7126557002213347,Hybrid
8,CERAVE,moisturizer,CeraVe Oil Control Moisturising Gel Cream,"combination, oily",52ml,690.0,"Aqua/​Water/​Eau, Niacinamide, Glycerin, Cetearyl Isononanoate, C14-22 Alcohols, Isopropyl Myristate, Zea Mays Starch/​Corn Starch, Ceramide NP, Ceramide AP, Ceramide EOP, Carbomer, Cetearyl Alcohol, Behentrimonium Methosulfate, Triethyl Citrate, Silica, Sodium Hydroxide, Sodium Hyaluronate, Sodium Lauroyl Lactylate, Cholesterol, Phenoxyethanol, Citric Acid, Caprylyl Glycol, Trisodium Ethylenediamine Disuccinate, Xanthan Gum, Phytosphingosine, Polyacrylate Crosspolymer-6, Benzoic Acid, C12-20 Alkyl Glucoside","Niacinamide, Ceramide NP, Ceramide AP","ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว, ผิวแห้ง, ผิวแพ้ง่าย, After-acids/retinoids, ผิวแห้งหยาบ, ผิวลอกเป็นขุย","combination, oily moisturizer Aqua/​Water/​Eau, Niacinamide, Glycerin, Cetearyl Isononanoate, C14-22 Alcohols, Isopropyl Myristate, Zea Mays Starch/​Corn Starch, Ceramide NP, Ceramide AP, Ceramide EOP, Carbomer, Cetearyl Alcohol, Behentrimonium Methosulfate, Triethyl Citrate, Silica, Sodium Hydroxide, Sodium Hyaluronate, Sodium Lauroyl Lactylate, Cholesterol, Phenoxyethanol, Citric Acid, Caprylyl Glycol, Trisodium Ethylenediamine Disuccinate, Xanthan Gum, Phytosphingosine, Polyacrylate Crosspolymer-6, Benzoic Acid, C12-20 Alkyl Glucoside Niacinamide, Ceramide NP, Ceramide AP ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว, ผิวแห้ง, ผิวแพ้ง่าย, After-acids/retinoids, ผิวแห้งหยาบ, ผิวลอกเป็นขุย CERAVE",0.732235065391245,0.0,0.639341039234747,Hybrid
81,LAROCHEPOSAY,moisturizer,La Roche-Posay Effaclar DUO+M,oily,40ml,1090.0,"Aqua/​Water/​Eau, Glycerin, Dimethicone, Isocetyl Stearate, Niacinamide, Isopropyl Lauroyl Sarcosinate, Silica, Ammonium Polyacryloyldimethyl Taurate, Oryza Sativa Starch /​ Rice Starch, Punica Granatum Pericarp Extract, Potassium Cetyl Phosphate, Sorbitan Oleate, Zinc Pca, Glyceryl Stearate SE, Isohexadecane, Sodium Hydroxide, Myristyl Myristate, 2-Oleamido-1,3-Octadecanediol, Mannose, Poloxamer 338, Propanediol, Hydroxyethoxyphenyl Butanone, Capryloyl Salicylic Acid, Caprylyl Glycol, Vitreoscilla Ferment, Citric Acid, Trisodium Ethylenediamine Disuccinate, Maltodextrin, Xanthan Gum, Pentylene Glycol, Polysorbate 80, Acrylamide/​Sodium Acryloyldimethyltaurate Copolymer, Salicylic Acid, Piroctone Olamine, Parfum/​Fragrance","Niacinamide, Salicylic Acid","ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว, ผลัดเซลล์ผิว, ลดสิวอุดตัน, ลดการอักเสบของสิว","oily moisturizer Aqua/​Water/​Eau, Glycerin, Dimethicone, Isocetyl Stearate, Niacinamide, Isopropyl Lauroyl Sarcosinate, Silica, Ammonium Polyacryloyldimethyl Taurate, Oryza Sativa Starch /​ Rice Starch, Punica Granatum Pericarp Extract, Potassium Cetyl Phosphate, Sorbitan Oleate, Zinc Pca, Glyceryl Stearate SE, Isohexadecane, Sodium Hydroxide, Myristyl Myristate, 2-Oleamido-1,3-Octadecanediol, Mannose, Poloxamer 338, Propanediol, Hydroxyethoxyphenyl Butanone, Capryloyl Salicylic Acid, Caprylyl Glycol, Vitreoscilla Ferment, Citric Acid, Trisodium Ethylenediamine Disuccinate, Maltodextrin, Xanthan Gum, Pentylene Glycol, Polysorbate 80, Acrylamide/​Sodium Acryloyldimethyltaurate Copolymer, Salicylic Acid, Piroctone Olamine, Parfum/​Fragrance Niacinamide, Salicylic Acid ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว, ผลัดเซลล์ผิว, ลดสิวอุดตัน, ลดการอักเสบของสิว LAROCHEPOSAY",0.16292365123483396,0.6957548081690266,0.576056114008511,Hybrid
73,SKIN1004,moisturizer,SKIN1004 Madagascar Centella Soothing Cream,oily,75ml,690.0,"Centella Asiatica Extract (72 %), Glycerin, Propanediol, Dipropylene Glycol, Cyclomethicone, Water, 1, 2 - Hexanediol, Trehalose, Caprylyl Methicone, C12 - 14 Pareth - 12, Carbomer, Tromethamine, Ammonium Acryloyldimethyltaurate/​VP Copolymer, C30 - 45 Alkyl Cetearyl Dimethicone Crosspolymer, Xanthan Gum, Mentha Piperita Leaf ( Peppermint ) Extract, Zingiber Officinale (Ginger) Root Extract, Butylene Glycol, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Tranexamic Acid, Coptis Chinensis Root Extract, Theobroma Cacao (Cocoa) Extract, Dextrin, Leuconostoc/​Radish Root Ferment Filtrate, Biosaccharide Gum - 1, Disodium EDTA, Sodium Hyaluronate, Beta-Glucan, Ceramide EOP, Ceramide NS, Ceramide NP, Ceramide AP, Phytosphingosine, Hydrogenated Lecithin, Cetearyl Alcohol, Stearic Acid, Cholesterol","Ceramide NP, Ceramide AP, Centella Asiatica","ผิวแห้ง, ผิวแพ้ง่าย, After-acids/retinoids, ผิวแห้งหยาบ, ผิวลอกเป็นขุย, ลดการอักเสบ, ลดรอยแดง, ฟื้นฟูผิว","oily moisturizer Centella Asiatica Extract (72 %), Glycerin, Propanediol, Dipropylene Glycol, Cyclomethicone, Water, 1, 2 - Hexanediol, Trehalose, Caprylyl Methicone, C12 - 14 Pareth - 12, Carbomer, Tromethamine, Ammonium Acryloyldimethyltaurate/​VP Copolymer, C30 - 45 Alkyl Cetearyl Dimethicone Crosspolymer, Xanthan Gum, Mentha Piperita Leaf ( Peppermint ) Extract, Zingiber Officinale (Ginger) Root Extract, Butylene Glycol, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Tranexamic Acid, Coptis Chinensis Root Extract, Theobroma Cacao (Cocoa) Extract, Dextrin, Leuconostoc/​Radish Root Ferment Filtrate, Biosaccharide Gum - 1, Disodium EDTA, Sodium Hyaluronate, Beta-Glucan, Ceramide EOP, Ceramide NS, Ceramide NP, Ceramide AP, Phytosphingosine, Hydrogenated Lecithin, Cetearyl Alcohol, Stearic Acid, Cholesterol Ceramide NP, Ceramide AP, Centella Asiatica ผิวแห้ง, ผิวแพ้ง่าย, After-acids/retinoids, ผิวแห้งหยาบ, ผิวลอกเป็นขุย, ลดการอักเสบ, ลดรอยแดง, ฟื้นฟูผิว SKIN1004",0.6155365793811193,0.0,0.5693219476286715,Hybrid
2,CERAVE,cleanser,CeraVe Blemish Control Cleanser,oily,88 ml,290.0,"Aqua/​Water, Sodium Lauroyl Sarcosinate, Cocamidopropyl Hydroxysultaine, Glycerin, Niacinamide, Salicylic Acid, Gluconolactone, Sodium Methyl Cocoyl Taurate, PEG-150 Pentaerythrityl Tetrastearate, Ceramide NP, Ceramide AP, Ceramide EOP, Carbomer, Calcium Gluconate, Triethyl Citrate, Sodium Benzoate, Sodium Hydroxide, Sodium Lauroyl Lactylate, Cholesterol, Tetrasodium EDTA, Caprylyl Glycol, Hydrolyzed Hyaluronic Acid, Trisodium Ethylenediamine Disuccinate, Xanthan Gum, Hectorite, Phytosphingosine, Benzoic Acid","Niacinamide, Salicylic Acid, Gluconolactone, Hyaluronic Acid, Ceramide NP, Ceramide AP","ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว, ผลัดเซลล์ผิว, ลดสิวอุดตัน, ลดการอักเสบของสิว, เพิ่มความชุ่มชื้น, กักเก็บน้ำในผิว, ผิวแห้ง, ผิวแพ้ง่าย, After-acids/retinoids, ผิวแห้งหยาบ, ผิวลอกเป็นขุย","oily cleanser Aqua/​Water, Sodium Lauroyl Sarcosinate, Cocamidopropyl Hydroxysultaine, Glycerin, Niacinamide, Salicylic Acid, Gluconolactone, Sodium Methyl Cocoyl Taurate, PEG-150 Pentaerythrityl Tetrastearate, Ceramide NP, Ceramide AP, Ceramide EOP, Carbomer, Calcium Gluconate, Triethyl Citrate, Sodium Benzoate, Sodium Hydroxide, Sodium Lauroyl Lactylate, Cholesterol, Tetrasodium EDTA, Caprylyl Glycol, Hydrolyzed Hyaluronic Acid, Trisodium Ethylenediamine Disuccinate, Xanthan Gum, Hectorite, Phytosphingosine, Benzoic Acid Niacinamide, Salicylic Acid, Gluconolactone, Hyaluronic Acid, Ceramide NP, Ceramide AP ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว, ผลัดเซลล์ผิว, ลดสิวอุดตัน, ลดการอักเสบของสิว, เพิ่มความชุ่มชื้น, กักเก็บน้ำในผิว, ผิวแห้ง, ผิวแพ้ง่าย, After-acids/retinoids, ผิวแห้งหยาบ, ผิวลอกเป็นขุย CERAVE",0.610500210698028,0.0,0.5663001264188168,Hybrid
48,PLANTNERY,cleansing,Plantnery Tea Tree First Cleansing Water,"combination, oily",300ml,350.0,"Deionized Water, Butylene Glycol, Glycerin, PEG-6 Caprylic/​Capric Glycerides, Coco-Glucoside, Glyceryl Oleate, Phenoxyethanol, Disodium EDTA, PEG-40 Hydrogenated Castor Oil, Melaleuca Alternifolia Leaf Oil, Hamamelis Virginiana Leaf Water, Sodium Hyaluronate, Niacinamide, Pyridoxine Hydrochloride, Panthenol, Carnitine, Zinc Pca, Ethylhexylglycerin, Cocamidopropyl Dimethylamine, Salicylic Acid","Niacinamide, Salicylic Acid, Panthenol","ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว, ผลัดเซลล์ผิว, ลดสิวอุดตัน, ลดการอักเสบของสิว, เพิ่มความชุ่มชื้น, ฟื้นฟูผิว, ลดการระคายเคือง","combination, oily cleansing Deionized Water, Butylene Glycol, Glycerin, PEG-6 Caprylic/​Capric Glycerides, Coco-Glucoside, Glyceryl Oleate, Phenoxyethanol, Disodium EDTA, PEG-40 Hydrogenated Castor Oil, Melaleuca Alternifolia Leaf Oil, Hamamelis Virginiana Leaf Water, Sodium Hyaluronate, Niacinamide, Pyridoxine Hydrochloride, Panthenol, Carnitine, Zinc Pca, Ethylhexylglycerin, Cocamidopropyl Dimethylamine, Salicylic Acid Niacinamide, Salicylic Acid, Panthenol ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว, ผลัดเซลล์ผิว, ลดสิวอุดตัน, ลดการอักเสบของสิว, เพิ่มความชุ่มชื้น, ฟื้นฟูผิว, ลดการระคายเคือง PLANTNERY",0.10120898082012281,0.7195254730232812,0.5485355777013863,Hybrid
