id,brand,type_of_product,name,skintype,size,price (bath),ingredients,active ingredients,คุณสมบัติ(จากactive ingredients),total_score,price_score,skin_match_score,concern_score
71,TORRIDEN,serum,Torriden Dive In Hyaluronic Acid Serum,"normal, dry",50ml,650.0,"Water, Butylene Glycol, Glycerin, Dipropylene Glycol, 1,2-Hexanediol, Panthenol, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Sodium Acetylated Hyaluronate, Sodium Hyaluronate Crosspolymer, Hydrolyzed Sodium Hyaluronate, Allantoin, Trehalose, Betaine, Propanediol, Portulaca Oleracea Extract, Hamamelis Virginiana Extract, Madecassoside, Madecassic Acid, Ceramide NP, Beta-Glucan, Malachite Extract, Cholesterol, Pentylene Glycol, Glyceryl Acrylate/​Acrylic Acid Copolymer, Pvm/​Ma Copolymer, Polyglyceryl-10 Laurate, Xanthan Gum, Tromethamine, Carbomer, Ethylhexylglycerin, Scutellaria Baicalensis Root Extract, Paeonia Suffruticosa Root Extract","Hyaluronic Acid, Ceramide NP, Allantoin, Panthenol","เพิ่มความชุ่มชื้น, กักเก็บน้ำในผิว, ผิวแห้ง, ผิวแพ้ง่าย, After-acids/retinoids, ลดการระคายเคือง, ปลอบประโลมผิว, เพิ่มความชุ่มชื้น, ฟื้นฟูผิว, ลดการระคายเคือง",65.0,30.0,20,15.0
63,SKIN1004,serum,SKIN1004 Hyalu-Cica Blue Serum,"normal, dry",50ml,690.0,"Water, Centella Asiatica Leaf Water, Butylene Glycol, 1,2-Hexanediol, Niacinamide, Glycerin, Pantolactone, Hibiscus Esculentus Fruit Extract, Sodium Hyaluronate, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid, Methylpropanediol, Panthenol, Cetearyl Olivate, Carbomer, Arginine, Sorbitan Olivate, Caprylic/​Capric Triglyceride, Pyrus Communis (Pear) Fruit Extract, Pentylene Glycol, Adenosine, Polyglutamic Acid, Rosa Damascena Flower Water, Artemisia Princeps Leaf Extract, Cucumis Melo (Melon) Fruit Extract, Iris Florentina Root Extract, Ethylhexylglycerin, Hedera Helix (Ivy) Leaf/​Stem Extract, Sodium Phytate, Xanthan Gum, Maltodextrin, Hydrolyzed Gardenia Florida Extract, Hydrogenated Lecithin, Ceramide NP, Sodium Hyaluronate Crosspolymer, Hydrolyzed Sodium Hyaluronate","Niacinamide, Hyaluronic Acid, Ceramide NP, Centella Asiatica, Panthenol","ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว, เพิ่มความชุ่มชื้น, กักเก็บน้ำในผิว, ผิวแห้ง, ผิวแพ้ง่าย, After-acids/retinoids, ลดการอักเสบ, ลดรอยแดง, ฟื้นฟูผิว, เพิ่มความชุ่มชื้น, ฟื้นฟูผิว, ลดการระคายเคือง",35.0,0.0,20,15.0
