id,brand,type_of_product,name,skintype,size,price (bath),ingredients,active ingredients,คุณสมบัติ(จากactive ingredients),total_score,price_score,skin_match_score,concern_score
48,PLANTNERY,cleansing,Plantnery Tea Tree First Cleansing Water,"combination, oily",300ml,350.0,"Deionized Water, Butylene Glycol, Glycerin, PEG-6 Caprylic/​Capric Glycerides, Coco-Glucoside, Glyceryl Oleate, Phenoxyethanol, Disodium EDTA, PEG-40 Hydrogenated Castor Oil, Melaleuca Alternifolia Leaf Oil, Hamamelis Virginiana Leaf Water, Sodium Hyaluronate, Niacinamide, Pyridoxine Hydrochloride, Panthenol, Carnitine, Zinc Pca, Ethylhexylglycerin, Cocamidopropyl Dimethylamine, Salicylic Acid","Niacinamide, Salicylic Acid, Panthenol","ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว, ผลัดเซลล์ผิว, ลดสิวอุดตัน, ลดการอักเสบของสิว, เพิ่มความชุ่มชื้น, ฟื้นฟูผิว, ลดการระคายเคือง",50.0,30.0,20,0.0
8,CERAVE,moisturizer,CeraVe Oil Control Moisturising Gel Cream,"combination, oily",52ml,690.0,"Aqua/​Water/​Eau, Niacinamide, Glycerin, Cetearyl Isononanoate, C14-22 Alcohols, Isopropyl Myristate, Zea Mays Starch/​Corn Starch, Ceramide NP, Ceramide AP, Ceramide EOP, Carbomer, Cetearyl Alcohol, Behentrimonium Methosulfate, Triethyl Citrate, Silica, Sodium Hydroxide, Sodium Hyaluronate, Sodium Lauroyl Lactylate, Cholesterol, Phenoxyethanol, Citric Acid, Caprylyl Glycol, Trisodium Ethylenediamine Disuccinate, Xanthan Gum, Phytosphingosine, Polyacrylate Crosspolymer-6, Benzoic Acid, C12-20 Alkyl Glucoside","Niacinamide, Ceramide NP, Ceramide AP","ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว, ผิวแห้ง, ผิวแพ้ง่าย, After-acids/retinoids, ผิวแห้งหยาบ, ผิวลอกเป็นขุย",39.5,4.500000000000001,20,15.0
79,ATOPALM,moisturizer,Atopalm MLE Lotion,"combination, dry",120ml,690.0,"Water/​Aqua, Caprylic/​Capric Triglyceride, Glycerin, Butylene Glycol, Pentylene Glycol, Cetearyl Alcohol, Pentaerythrityl Stearate/​Caprate/​Caprylate/​Adipate, Simmondsia Chinensis (Jojoba) Seed Oil, Polyglyceryl-5 Stearate, Sodium Hyaluronate, Stearic Acid, Glyceryl Stearate, Sorbitan Stearate, Butyrospermum Parkii (Shea) Butter, Hydrogenated Vegetable Oil, Tocopherol, Palmitoyl Palmitamide Mea, Bis-Capryloyloxypalmitamido Isopropanol, N-Decanoyl Serinol, Allantoin, Houttuynia Cordata Extract, Leucine, Lysine, Phenylalanine, Threonine, Valine, Phytosterols, Carbomer, Phytosteryl Oleate, Xanthan Gum, Sodium Phytate, Arginine, Helianthus Annuus (Sunflower) Seed Oil, Salvia Officinalis (Sage) Oil, Elettaria Cardamomum Seed Oil, Beta-Glucan, Pogostemon Cablin Oil, Juniperus Mexicana Oil, Juniperus Communis Fruit Oil, Anthemis Nobilis Flower Oil, 1,2-Hexanediol, Caprylic/​Capric Glycerides","Allantoin, Tocopherol","ลดการระคายเคือง, ปลอบประโลมผิว, ต้านอนุมูลอิสระ, บำรุงผิว, เพิ่มความชุ่มชื้น",24.5,4.500000000000001,20,0.0
84,COSRX,moisturizer,COSRX Oil-free Ultra Moisturizing Lotion ,"combination, oily, sensitive",100ml,700.0,"Betula Platyphylla Japonica Juice, Butylene Glycol, Glycerin, Dimethicone, Betaine, Cetearyl Alcohol, 1,2-Hexanediol, Cetearyl Olivate, Ethyl Hexanediol, Sorbitan Olivate, Ethylhexylglycerin, Hydroxyethyl Acrylate/​Sodium Acryloyldimethyl Taurate Copolymer, Parfum, Allantoin, Panthenol, Xanthan Gum, Sodium Lactate, Sodium Hyaluronate, Sorbitan Isostearate, Polysorbate 60, Aqua/​Water, Limonene, Citral","Allantoin, Panthenol","ลดการระคายเคือง, ปลอบประโลมผิว, เพิ่มความชุ่มชื้น, ฟื้นฟูผิว, ลดการระคายเคือง",23.75,3.75,20,0.0
38,ISNTREE,cleanser,Isntree Green Tea Fresh Cleanser,"combination, oily",120ml,738.0,"Water, Glycerin, Sodium Cocoyl Alaninate, Disodium Cocoamphodiacetate, Butylene Glycol, Sodium Methyl Cocoyl Taurate, 1,2-Hexanediol, Lauryl Hydroxysultaine, Xanthan Gum, Sodium Chloride, Caprylyl Glycol, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Camellia Sinensis Leaf Powder, Camellia Sinensis Leaf, Camellia Sinensis Leaf Extract, Sodium Phytate, Malt Extract, Hexylene Glycol, Oenothera Biennis (Evening Primrose) Flower Extract, Pinus Palustris Leaf Extract, Pueraria Thunbergiana Root Extract, Ulmus Davidiana Root Extract, Ethylhexylglycerin, Hydrolyzed Glycosaminoglycans, Propanediol, Sodium Hyaluronate Crosspolymer, Sodium Hyaluronate, Benzyl Glycol, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid",Hyaluronic Acid,"เพิ่มความชุ่มชื้น, กักเก็บน้ำในผิว",20.900000000000002,0.9000000000000008,20,0.0
25,NU FORMULA,sunscreen,Nu Formula Sun Real SPF50+ PA++++ Dry Touch Milk,"combination, oily",40g,750.0,"Cyclopentasiloxane, Aqua, Zinc Oxide, Alcohol Denat, Ethylhexyl Methoxycinnamate, Dimethicone, Isododecane, Polymethyl Methacrylate, Silica, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Ethylhexyl Salicylate, PEG-10 Dimethicone, Talc, Butylene Glycol, C12-15 Alkyl Benzoate, Ethylhexyl Triazone, Polymethylsilsesquioxane, Hydrolyzed Jojoba Esters, Cetyl PEG/​PPG-10/​1 Dimethicone, Phenoxyethanol, Sodium Chloride, Dimethicone/​Vinyltrimethylsiloxysilicate Crosspolymer, Methicone, Glycerin, Dextrin Palmitate, Polysilicone-11, Chlorphenesin, Tocopheryl Acetate, Dipotassium Glycyrrhizate, Disodium EDTA, Polysorbate 40, Hydrogen Dimethicone, Palmitic Acid, Niacinamide, Zinc Pca, Sodium Hyaluronate, Terminalia Ferdinandiana Fruit Extract, Melanin, 1,2-Hexanediol, Pentylene Glycol, Biosaccharide Gum-4, Ethylhexylglycerin",Niacinamide,"ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว",20.0,0.0,20,0.0
