id,brand,type_of_product,name,skintype,size,price (bath),ingredients,active ingredients,คุณสมบัติ(จากactive ingredients),total_score,price_score,skin_match_score,concern_score
2,CERAVE,cleanser,CeraVe Blemish Control Cleanser,oily,88 ml,290.0,"Aqua/​Water, Sodium Lauroyl Sarcosinate, Cocamidopropyl Hydroxysultaine, Glycerin, Niacinamide, Salicylic Acid, Gluconolactone, Sodium Methyl Cocoyl Taurate, PEG-150 Pentaerythrityl Tetrastearate, Ceramide NP, Ceramide AP, Ceramide EOP, Carbomer, Calcium Gluconate, Triethyl Citrate, Sodium Benzoate, Sodium Hydroxide, Sodium Lauroyl Lactylate, Cholesterol, Tetrasodium EDTA, Caprylyl Glycol, Hydrolyzed Hyaluronic Acid, Trisodium Ethylenediamine Disuccinate, Xanthan Gum, Hectorite, Phytosphingosine, Benzoic Acid","Niacinamide, Salicylic Acid, Gluconolactone, Hyaluronic Acid, Ceramide NP, Ceramide AP","ลดรอยดำ, รอยสิว, ควบคุมความมัน, เสริมเกราะป้องกันผิว, ผลัดเซลล์ผิว, ลดสิวอุดตัน, ลดการอักเสบของสิว, เพิ่มความชุ่มชื้น, กักเก็บน้ำในผิว, ผิวแห้ง, ผิวแพ้ง่าย, After-acids/retinoids, ผิวแห้งหยาบ, ผิวลอกเป็นขุย",85.0,30.0,40,15.0
38,ISNTREE,cleanser,Isntree Green Tea Fresh Cleanser,"combination, oily",120ml,738.0,"Water, Glycerin, Sodium Cocoyl Alaninate, Disodium Cocoamphodiacetate, Butylene Glycol, Sodium Methyl Cocoyl Taurate, 1,2-Hexanediol, Lauryl Hydroxysultaine, Xanthan Gum, Sodium Chloride, Caprylyl Glycol, Acrylates/​C10-30 Alkyl Acrylate Crosspolymer, Camellia Sinensis Leaf Powder, Camellia Sinensis Leaf, Camellia Sinensis Leaf Extract, Sodium Phytate, Malt Extract, Hexylene Glycol, Oenothera Biennis (Evening Primrose) Flower Extract, Pinus Palustris Leaf Extract, Pueraria Thunbergiana Root Extract, Ulmus Davidiana Root Extract, Ethylhexylglycerin, Hydrolyzed Glycosaminoglycans, Propanediol, Sodium Hyaluronate Crosspolymer, Sodium Hyaluronate, Benzyl Glycol, Hydrolyzed Hyaluronic Acid, Hyaluronic Acid",Hyaluronic Acid,"เพิ่มความชุ่มชื้น, กักเก็บน้ำในผิว",20.0,0.0,20,0.0
